role,generation,mean_fitness,size,optimal_genotype,interaction_values
predator,12,0.6045633809032351,392,[0.30715454 0.35113159 0.26761847 0.28153475 0.25240367],"(0.0, 0.0)"
predator,13,0.6144583112720914,396,[0.34185379 0.38436738 0.28562115 0.28964339 0.28821264],"(0.0, 0.0)"
predator,14,0.6203375582874217,446,[0.38632867 0.42537242 0.32247293 0.33169693 0.32112827],"(0.0, 0.0)"
predator,15,0.6068725479544909,538,[0.4152041  0.47164906 0.32648321 0.33675606 0.32325092],"(0.0, 0.0)"
predator,16,0.6025240225635393,612,[0.44013692 0.50092281 0.33078772 0.38601652 0.36847807],"(0.0, 0.0)"
predator,17,0.601511708573081,720,[0.44041921 0.50979281 0.3712157  0.40209911 0.40162421],"(0.0, 0.0)"
predator,18,0.6029418209213284,779,[0.47723286 0.52001121 0.41277569 0.40339781 0.41681475],"(0.0, 0.0)"
predator,19,0.6092989998597056,798,[0.49080922 0.5403496  0.42054696 0.42388556 0.43469212],"(0.0, 0.0)"
predator,20,0.6085216884624176,955,[0.5077619  0.56834152 0.4499978  0.46817888 0.44886469],"(0.0, 0.0)"
predator,21,0.6016481152476228,982,[0.54542711 0.58828189 0.48157637 0.48509679 0.4520131 ],"(0.0, 0.0)"
predator,22,0.6007047636147959,1082,[0.58469326 0.62688375 0.48247974 0.52382315 0.46886352],"(0.0, 0.0)"
predator,23,0.5906125699126673,1266,[0.608836   0.65909162 0.4838632  0.52850292 0.51345424],"(0.0, 0.0)"
predator,24,0.5954440887668617,1292,[0.6341175  0.70268623 0.50829588 0.56263345 0.54586572],"(0.0, 0.0)"
predator,25,0.5851575244989837,1350,[0.67736481 0.72423899 0.5456937  0.59536085 0.56834331],"(0.0, 0.0)"
predator,26,0.5767695121662632,1392,[0.68606854 0.75666013 0.54779881 0.64152495 0.60895074],"(0.0, 0.0)"
predator,27,0.5673177412670941,1439,[0.71725983 0.7602156  0.59646253 0.65297829 0.65567026],"(0.0, 0.0)"
predator,28,0.5587090651543367,1451,[0.72197024 0.79000028 0.60742003 0.66065984 0.6914105 ],"(0.0, 0.0)"
predator,29,0.5543083842010393,1382,[0.7474273  0.79728291 0.6155429  0.66736126 0.73960678],"(0.0, 0.0)"
predator,30,0.5538457281918254,1266,[0.77804919 0.79736476 0.6442416  0.70555508 0.7627786 ],"(0.0, 0.0)"
predator,31,0.5500121247273203,1284,[0.79463099 0.8242721  0.69162077 0.75140636 0.77325171],"(0.0, 0.0)"
predator,32,0.547856882549603,1274,[0.82563763 0.83316941 0.72235164 0.79056889 0.79753286],"(0.0, 0.0)"
predator,33,0.5424617476047607,1303,[0.8436647  0.87957406 0.72426334 0.79306388 0.83342466],"(0.0, 0.0)"
predator,34,0.5410931563433058,1268,[0.84771185 0.92472967 0.76050182 0.82601794 0.86866705],"(0.0, 0.0)"
predator,35,0.5376941175304126,1288,[0.87393756 0.95034058 0.80814855 0.86920215 0.88600358],"(0.0, 0.0)"
predator,36,0.5271793303681473,1192,[0.90950011 0.98391838 0.83443286 0.88179036 0.91513989],"(0.0, 0.0)"
predator,37,0.5166281031427565,1180,[0.94326333 1.         0.86501131 0.91531628 0.9181767 ],"(0.0, 0.0)"
predator,38,0.5145889161697502,1108,[0.98236969 1.         0.89703803 0.92891076 0.94414645],"(0.0, 0.0)"
predator,39,0.5142855619567563,1063,[1.         1.         0.91282074 0.9487557  0.95016273],"(0.0, 0.0)"
predator,40,0.5128971549548261,1038,[1.         1.         0.95005001 0.96957817 0.98311387],"(0.0, 0.0)"
predator,41,0.5089495239470979,974,[1.         1.         0.9601714  1.         0.99703499],"(0.0, 0.0)"
predator,42,0.5165447577020418,892,[1.         1.         0.97364345 1.         0.9987081 ],"(0.0, 0.0)"
predator,43,0.5236733671434711,816,[1.         1.         0.98916973 1.         1.        ],"(0.0, 0.0)"
predator,44,0.5352010007091152,777,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,45,0.5522123734606366,777,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,46,0.5696247327104839,791,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,47,0.5836806485703144,856,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,48,0.59301331277958,943,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,49,0.6059605465846404,1008,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,50,0.6150653481966687,1118,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,51,0.6215764887318327,1218,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,52,0.6288097664559507,1385,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
predator,53,0.6342247401562539,1564,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
